Max Feature Function,Max Depth,Number of Trees,OOB,Test RSME,Train RSME
Sqrt,4,10,0.888507545,1159.959716,1152.848945
Sqrt,,50,0.9171313504,1140.563857,1134.275963
Sqrt,,100,0.9191165157,1129.346395,1123.858801
Sqrt,,200,0.9188510884,1134.089141,1128.10018
Sqrt,20,10,0.9538068624,574.710234,270.643099
Sqrt,,50,0.9801764999,548.0368293,234.7525084
Sqrt,,100,0.9810110937,544.337696,229.7962548
Sqrt,,200,0.9813714943,541.9969573,227.829509
Sqrt,100,10,0.952074361,584.8709897,251.5979829
Sqrt,,50,0.9801804006,548.2237846,209.7595994
Sqrt,,100,0.9809620903,543.0336185,204.1539647
Sqrt,,200,0.9813119671,540.9774691,201.4067505
Sqrt,200,10,0.9524553607,581.9463059,249.9683452
Sqrt,,50,0.9800355171,549.180965,210.5645585
Sqrt,,100,0.9808838459,545.553042,204.4457473
log,,200,0.9813853014,543.6600276,201.2575916
log,4,10,0.8883054168,1157.457366,1150.956749
log,,50,0.917231479,1140.118984,1133.194543
log,,100,0.919291226,1129.281357,1122.782338
log,,200,0.918920738,1134.014515,1127.519151
log,20,10,0.9527329601,576.6097058,271.1668142
log,,50,0.9802277603,545.6922031,234.9126577
log,,100,0.9809636018,543.2411822,230.2138979
log,,200,0.981371479,541.1313816,227.5167292
log,100,10,0.9508821205,582.2038386,251.3593473
log,,50,0.9801277275,547.6444163,209.9927989
log,,100,0.9809551574,542.9125848,203.8702072
log,,200,0.9813605768,541.0191076,201.3292414
log,200,10,0.9515704197,578.0423422,250.3845501
log,,50,0.9801532065,551.3455731,210.0763147
log,,100,0.9810080433,544.0830238,203.7966355
log,,200,0.9813756034,542.2773565,201.1595134
none,4,10,0.9023035324,1097.538401,1094.664785
none,,50,0.9241238739,1093.927796,1090.392225
none,,100,0.9244161312,1092.986609,1089.681183
none,,200,0.9244489827,1093.68057,1090.131115
none,20,10,0.9564292592,557.9466554,242.4763037
none,,50,0.9812088369,537.8696376,214.0872931
none,,100,0.9817084472,535.6808118,210.1387262
none,,200,0.9819323954,534.4829574,208.1138089
none,100,10,0.9566362724,558.9295058,235.81578
none,,50,0.9811235288,537.2029647,204.7660947
none,,100,0.9816142316,535.4227102,200.3857282
none,,200,0.9818788398,534.7722537,198.3342015
none,200,10,0.956278795,561.0361648,236.9948476
none,,50,0.9811670519,540.1592345,205.2858802
none,,100,0.9816291442,535.0693099,200.8452532
none,,200,0.9818834686,533.9593106,198.5191772